region, goat-fraction
USA                 ,    0.2058911719
Canada              ,    0.0304360953
Western Europe      ,    0.1252789991
Japan               ,    0.7580543033
Australia_NZ        ,    0.0043487698
Former Soviet Union ,    0.1457585163
China               ,    0.5365833204
Middle East         ,    0.3013901891
Africa              ,    0.483539802
Latin America       ,    0.3326726631
Southeast Asia      ,    0.7552733099
Eastern Europe      ,    0.2212560354
Korea               ,    0.9982557615
India               ,    0.672427639
